director_name,num_critic_for_reviews,duration,director_facebook_likes,gross,genre_1,movie_title,num_voted_users,cast_total_facebook_likes,country,content_rating,budget,title_year,imdb_score,movie_facebook_likes,profit,return_on_investment,Action,Adventure,Biography,Comedy,Drama,Horror,Documentary,other_actors_facebook_likes,critic_review_ratio,ln_profit,ln_gross,ln_num_voted_users,ln_num_critic_for_reviews
David Yates,375,1,282,301956980,Adventure,Harry Potter and the Half-Blood Prince ,321795,58753,Others,PG,250000000,1,7.5,10000,51956980,20.782792,0,1,0,0,0,0,0,21000,0.3854059609455293,17.76592662644552,19.525795114861005,12.681669975818716,5.926926025970411
Peter Jackson,446,1,0,218051260,Action,King Kong ,316018,7123,Others,PG-13,207000000,1,7.2,0,11051260,5.338772946859904,1,0,0,0,0,0,0,1003,0.1703590527119939,16.218055006576755,19.200240730727526,12.663554452972091,6.100318952020064
Brett Ratner,334,0,420,234360014,Action,X-Men: The Last Stand ,383427,21714,Others,PG-13,210000000,1,6.8,0,24360014,11.600006666666667,1,0,0,0,0,0,0,1368,0.17468619246861924,17.00845357551845,19.272369012378018,12.856904529649341,5.811140992976701
David Yates,329,1,282,292000866,Adventure,Harry Potter and the Order of the Phoenix ,355137,33433,Others,PG-13,150000000,1,7.5,0,142000866,94.667244,0,1,0,0,0,0,0,11687,0.29693140794223827,18.77134371413849,19.492267325981583,12.78025890950428,5.796057750765372
Mike Newell,295,1,179,289994397,Adventure,Harry Potter and the Goblet of Fire ,385670,53413,Others,PG-13,150000000,1,7.6,0,139994397,93.329598,0,1,0,0,0,0,0,21000,0.15559071729957805,18.757112958344127,19.485372160068493,12.862737360512703,5.68697535633982
Lee Tamahori,264,1,93,160201106,Action,Die Another Day ,169914,2538,Others,PG-13,142000000,1,6.1,0,18201106,12.81768028169014,1,0,0,0,0,0,0,1512,0.22278481012658227,16.71699291943142,18.891940496444864,12.04304770567781,5.575949103146316
Alfonso Cuarón,274,1,0,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,382255,33284,Others,PG,130000000,1,7.8,11000,119358727,91.81440538461538,0,1,0,0,0,0,0,20000,0.18218085106382978,18.597644029148373,19.334403088341347,12.853843204150495,5.6131281063880705
Chris Columbus,258,1,0,317557891,Adventure,Harry Potter and the Sorcerer's Stone ,444683,13191,Others,PG,125000000,1,7.5,16000,192557891,154.0463128,0,1,0,0,0,0,0,1332,0.16422660725652452,19.0759073989487,19.57617069353449,13.005116947749189,5.552959584921617
Bryan Singer,289,1,0,214948780,Action,X-Men 2 ,405973,20952,Others,PG-13,110000000,1,7.5,0,104948780,95.40798181818182,1,0,0,0,0,0,0,851,0.2739336492890995,18.468982979580215,19.185910325151912,12.914041933909429,5.666426688112432
Roger Spottiswoode,160,0,55,125332007,Action,Tomorrow Never Dies ,149680,2958,Others,PG-13,110000000,0,6.5,0,15332007,13.938188181818182,1,0,0,0,0,0,0,1153,0.4878048780487805,16.54545316204392,18.646476830183257,11.91625496094797,5.075173815233827
Peter Jackson,297,1,0,313837577,Action,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,Others,PG-13,93000000,1,8.8,21000,220837577,237.45976021505376,1,0,0,0,0,0,0,5857,0.058695652173913045,19.21293804357568,19.56438613934125,14.029610135559567,5.6937321388027
Rob Minkoff,101,0,50,140015224,Adventure,Stuart Little ,94172,3382,Others,PG,133000000,0,5.9,0,7015224,5.274604511278196,0,1,0,0,0,0,0,1578,0.5642458100558659,15.763593202584092,18.757261717518645,11.452878176464841,4.61512051684126
Chris Columbus,232,1,0,261970615,Adventure,Harry Potter and the Chamber of Secrets ,387616,35672,Others,PG,100000000,1,7.4,0,161970615,161.970615,0,1,0,0,0,0,0,19000,0.2703962703962704,18.902925487854816,19.383742898946814,12.867770437816528,5.44673737166631
Martin Campbell,400,1,258,167007184,Action,Casino Royale ,470483,9125,Others,PG-13,150000000,1,8,0,17007184,11.338122666666667,1,0,0,0,0,0,0,1834,0.1738374619730552,16.649146400990524,18.933547387419853,13.061515105580096,5.991464547107982
Seth Gordon,141,0,91,120136047,Comedy,Four Christmases ,48500,9913,Others,PG-13,80000000,1,5.6,0,40136047,50.17005875,0,0,0,1,0,0,0,3982,1.1370967741935485,17.507785416164076,18.604135383565456,10.789319076925574,4.948759890378168
Brett Ratner,210,1,420,92930005,Crime,Red Dragon ,204063,35867,Others,R,78000000,1,7.2,0,14930005,19.14103205128205,0,0,0,0,0,0,0,12876,0.27486910994764396,16.518883504411498,18.34735713333746,12.226184048679594,5.3471075307174685
Jonathan Mostow,178,0,84,77086030,Action,U-571 ,65297,14931,Others,PG-13,62000000,0,6.6,0,15086030,24.332306451612904,1,0,0,0,0,0,0,1482,0.2956810631229236,16.529279707992437,18.160432628860566,11.086701372402121,5.181783550292085
Martin Campbell,137,1,258,106635996,Action,GoldenEye ,199025,1784,Others,PG-13,58000000,0,7.2,0,48635996,83.85516551724137,1,0,0,0,0,0,0,732,0.3293269230769231,17.699874473154836,18.484931686243105,12.20118572395678,4.919980925828125
Adam Shankman,125,0,163,113006880,Action,The Pacifier ,66308,16884,Others,PG,56000000,1,5.5,0,57006880,101.79800000000002,1,0,0,0,0,0,0,1449,0.5555555555555556,17.85868252026934,18.542959259778954,11.102065832544756,4.8283137373023015
Brad Silberling,110,0,52,78745923,Drama,City of Angels ,94407,13905,Others,PG-13,55000000,0,6.7,0,23745923,43.17440545454546,0,0,0,0,1,0,0,1241,0.3416149068322981,16.982921410551224,18.18173706290126,11.4553705019268,4.700480365792417
John Singleton,160,0,309,70327868,Action,Shaft ,58416,26527,Others,R,46000000,0,5.9,0,24327868,52.88666956521739,1,0,0,0,0,0,0,1577,0.53156146179402,17.007133082477857,18.068678693591814,10.975345103895418,5.075173815233827
Steve Oedekerk,98,0,176,72601713,Animation,Barnyard ,21396,2055,Others,PG,51000000,1,5.6,605,21601713,42.356300000000005,0,0,0,0,0,0,0,1083,0.632258064516129,16.88828317506543,18.100499074557987,9.970959267651141,4.584967478670572
Alexander Witt,191,0,38,50740078,Action,Resident Evil: Apocalypse ,151580,16791,Others,R,45000000,1,6.2,0,5740078,12.75572888888889,1,0,0,0,0,0,0,1625,0.28422619047619047,15.562983357053596,17.742226649382946,11.92886881736602,5.25227342804663
Beeban Kidron,143,0,17,40203020,Comedy,Bridget Jones: The Edge of Reason ,74315,15634,Others,R,40000000,1,5.9,0,203020,0.5075500000000001,0,0,0,1,0,0,0,1186,0.5521235521235521,12.221059775338421,17.509452675145663,11.216068094582996,4.962844630259907
Jerry Zucker,103,0,109,56607223,Adventure,Rat Race ,93367,1823,Others,PG-13,48000000,1,6.4,0,8607223,17.93171458333333,0,1,0,0,0,0,0,890,0.20724346076458752,15.968112292439695,17.85164714987232,11.444293242727234,4.634728988229636
Robert Luketic,132,0,126,82931301,Comedy,Monster-in-Law ,43358,6292,Others,PG-13,60000000,1,5.5,0,22931301,38.218835,0,0,0,1,0,0,0,1535,0.5789473684210527,16.948013391122505,18.233523124233912,10.67724650958846,4.882801922586371
Richard Curtis,218,1,628,59365105,Comedy,Love Actually ,318634,28886,Others,R,45000000,1,7.7,52000,14365105,31.92245555555556,0,0,0,1,0,0,0,14548,0.21713147410358566,16.48031255980146,17.89921715379941,12.671798387650622,5.384495062789089
Luis Llosa,38,0,49,57362581,Action,The Specialist ,50148,13331,Others,R,45000000,0,5.4,0,12362581,27.472402222222218,1,0,0,0,0,0,0,299,0.3275862068965517,16.33018480696444,17.864902749756578,10.822733912235917,3.6375861597263857
Russell Mulcahy,216,0,85,50648679,Action,Resident Evil: Extinction ,149549,16225,Others,R,45000000,1,6.3,0,5648679,12.552620000000001,1,0,0,0,0,0,0,1149,0.6206896551724138,15.546932270476166,17.74042370737117,11.915379377308891,5.375278407684165
Roger Michell,150,1,50,116006080,Comedy,Notting Hill ,203269,9255,Others,PG-13,42000000,0,7,11000,74006080,176.20495238095236,0,0,0,1,0,0,0,864,0.24916943521594684,18.11965780995548,18.56915316149019,12.222285503975796,5.0106352940962555
Peter Lord,187,0,91,106793915,Adventure,Chicken Run ,140499,1817,Others,G,45000000,0,7,0,61793915,137.3198111111111,0,1,0,0,0,0,0,736,0.5223463687150838,17.93931545479697,18.486411507211763,11.852955650292886,5.231108616854587
Joseph L. Mankiewicz,72,1,311,57750000,Biography,Cleopatra ,21554,2957,Others,Approved,31115000,0,7,0,26635000,85.60179977502813,0,0,1,0,0,0,0,1321,0.375,17.097736698333236,17.871633907366178,9.978316693156778,4.276666119016055
John Glen,117,1,46,34667015,Action,Licence to Kill ,74009,2371,Others,PG-13,32000000,0,6.6,0,2667015,8.334421875,1,0,0,0,0,0,0,624,0.36908517350157727,14.796470427445298,17.36129921646398,11.211941986412619,4.762173934797756
Oliver Stone,125,1,0,70405498,Drama,JFK ,113472,698,Others,R,40000000,0,8,0,30405498,76.013745,0,0,0,0,1,0,0,260,0.2828054298642534,17.230134005287265,18.0697819146698,11.63931138943388,4.8283137373023015
Kevin Reynolds,138,1,58,54228104,Action,The Count of Monte Cristo ,104991,17152,Others,PG-13,35000000,1,7.7,0,19228104,54.93744,1,0,0,0,0,0,0,1720,0.2536764705882353,16.771883516760226,17.808709856008004,11.561629911180267,4.927253685157205
John Glen,105,1,46,51185897,Action,The Living Daylights ,69457,1233,Others,PG,30000000,0,6.7,0,21185897,70.61965666666666,1,0,0,0,0,0,0,406,0.3874538745387454,16.868846282425636,17.750974602847883,11.148463135039968,4.653960350157523
Richard Lester,95,1,44,60000000,Action,Superman III ,49934,2329,Others,PG,39000000,0,4.9,0,21000000,53.84615384615385,1,0,0,0,0,0,0,962,0.42410714285714285,16.860032995687696,17.909855120186375,10.818457412442868,4.553876891600541
Irvin Kershner,89,1,883,55500000,Action,Never Say Never Again ,48636,762,Others,PG,36000000,0,6.2,0,19500000,54.166666666666664,1,0,0,0,0,0,0,305,0.4158878504672897,16.785925023533974,17.831893578716663,10.792119276416308,4.48863636973214
Kevin Munroe,191,0,14,54132596,Action,TMNT ,53786,16571,Others,PG,34000000,1,6.3,0,20132596,59.21351764705882,1,0,0,0,0,0,0,4691,0.9052132701421801,16.817850751049757,17.806947076241325,10.892768489237657,5.25227342804663
Paul W.S. Anderson,226,0,545,39532308,Action,Resident Evil ,198701,17902,Others,R,33000000,1,6.7,0,6532308,19.79487272727273,1,0,0,0,0,0,0,2766,0.19859402460456943,15.692270884440948,17.49262881960439,12.199556461239876,5.420534999272286
John Moore,228,0,212,40687294,Action,Max Payne ,107772,16249,Others,PG-13,35000000,1,5.4,0,5687294,16.249411428571428,1,0,0,0,0,0,0,800,0.5728643216080402,15.553745121805171,17.521426414940215,11.58777316345895,5.429345628954441
Jaume Collet-Serra,228,0,174,32048809,Horror,House of Wax ,94456,2178,Others,R,30000000,1,5.3,0,2048809,6.829363333333334,0,0,0,0,0,1,0,1040,0.3958333333333333,14.53276920667311,17.28277057995405,11.455889396586945,5.429345628954441
David R. Ellis,285,0,160,34014398,Action,Snakes on a Plane ,115649,2604,Others,R,33000000,1,5.6,4000,1014398,3.073933333333333,1,0,0,0,0,0,0,1012,0.2758954501452081,13.829805891054322,17.34229446353031,11.658315020843126,5.652489180268651
Brian Levant,67,0,32,81150692,Adventure,Snow Dogs ,20219,2916,Others,PG,35000000,1,5.1,0,46150692,131.85912,0,1,0,0,0,0,0,1185,0.67,17.6474225133836,18.211818379306877,9.914378035367301,4.204692619390966
Jared Hess,163,0,100,80197993,Comedy,Nacho Libre ,65551,1729,Others,PG,32000000,1,5.7,0,48197993,150.618728125,0,0,0,1,0,0,0,962,0.36961451247165533,17.690827939149752,18.200009047585958,11.090583744605611,5.093750200806762
Louis Leterrier,163,0,255,43095600,Action,Transporter 2 ,156267,29050,Others,PG-13,32000000,1,6.3,0,11095600,34.67375,1,0,0,0,0,0,0,1810,0.47941176470588237,16.222059191300346,17.57893146169557,11.959321361680358,5.093750200806762
Lewis Gilbert,121,1,43,62700000,Action,Moonraker ,69534,1008,Others,PG,34000000,0,6.3,0,28700000,84.41176470588235,1,0,0,0,0,0,0,379,0.41156462585034015,17.17240768072985,17.95387200560315,11.149571120562445,4.795790545596741
Neill Blomkamp,472,0,662,115646235,Action,District 9 ,531737,2639,Others,R,30000000,1,8,22000,85646235,285.48745,1,0,0,0,0,0,0,540,0.37400950871632327,18.265735823799748,18.566046390988575,13.183904285184887,6.156978985585555
Stig Bergqvist,41,0,0,76501438,Adventure,Rugrats in Paris: The Movie ,8146,4527,Others,G,30000000,0,6.1,181,46501438,155.0047933333333,0,1,0,0,0,0,0,1630,0.8367346938775511,17.654993794810608,18.152820096005716,9.005282288208358,3.713572066704308
Chris Noonan,79,0,108,66600000,Comedy,Babe ,94435,1185,Others,G,30000000,0,6.8,5000,36600000,122,0,0,0,1,0,0,0,572,0.4340659340659341,17.415558798371595,18.014215135510618,11.455667046129946,4.3694478524670215
John Glen,108,1,46,50300000,Action,A View to a Kill ,68565,2943,Others,PG,30000000,0,6.3,0,20300000,67.66666666666666,1,0,0,0,0,0,0,872,0.36,16.826131444012017,17.733515635069967,11.135537479433955,4.68213122712422
Steve Box,209,0,9,56068547,Animation,The Curse of the Were-Rabbit ,98160,1145,Others,G,30000000,1,7.5,0,26068547,86.89515666666667,0,0,0,0,0,0,0,369,0.6807817589576547,17.076240049795658,17.842085553728054,11.494354079384793,5.342334251964811
Joe Wright,316,1,456,50921738,Drama,Atonement ,192930,20499,Others,R,30000000,1,7.8,12000,20921738,69.73912666666666,0,0,0,0,1,0,0,1286,0.5438898450946644,16.85629927210406,17.745800463042716,12.170082707797018,5.755742213586912
Don Mancini,148,0,64,17016190,Comedy,Seed of Chucky ,28632,2567,Others,R,12000000,1,4.9,0,5016190,41.80158333333333,0,0,0,1,0,0,0,1220,0.6915887850467289,15.42818123936539,16.64967580176132,10.262280252445862,4.997212273764115
David Wain,173,0,136,67266300,Comedy,Role Models ,195255,3400,Others,R,28000000,1,6.9,0,39266300,140.2367857142857,0,0,0,1,0,0,0,1069,1.0176470588235293,17.48587720260927,18.02416992625929,12.18206167556867,5.153291594497779
Adam Shankman,108,0,163,60400856,Comedy,The Wedding Planner ,61317,17533,Others,PG-13,35000000,1,5.2,0,25400856,72.5738742857143,0,0,0,1,0,0,0,2968,0.47161572052401746,17.050293432208306,17.91651383499005,11.023812408109887,4.68213122712422
John Glen,112,1,46,62300000,Action,For Your Eyes Only ,72085,2118,Others,PG,28000000,0,6.8,2000,34300000,122.50000000000001,1,0,0,0,0,0,0,646,0.42585551330798477,17.35065591213617,17.94747198375768,11.185601257246004,4.718498871295094
Peter Hyams,62,0,0,44450000,Action,Timecop ,44394,2010,Others,R,27000000,0,5.8,0,17450000,64.62962962962962,1,0,0,0,0,0,0,841,0.5391304347826087,16.67485020661271,17.609875519924188,10.700859604153607,4.127134385045092
Ben Stiller,135,0,0,45162741,Comedy,Zoolander ,201084,34565,Others,PG-13,28000000,1,6.6,0,17162741,61.29550357142857,0,0,0,1,0,0,0,18000,0.25812619502868067,16.658251371203036,17.62578299070943,12.211478010188724,4.90527477843843
Joe Wright,177,1,456,38372662,Drama,Pride & Prejudice ,193455,1083,Others,PG,28000000,1,7.8,17000,10372662,37.04522142857143,0,0,0,0,1,0,0,527,0.16729678638941398,16.154684249288454,17.462855836934192,12.1728002062666,5.176149732573829
John Glen,106,1,46,67900000,Action,Octopussy ,74374,1898,Others,PG,27500000,0,6.6,0,40400000,146.9090909090909,1,0,0,0,0,0,0,596,0.4711111111111111,17.51434034293138,18.033546592528925,11.21686169737939,4.663439094112067
David Lean,52,1,767,26400000,Adventure,A Passage to India ,12980,1334,Others,PG,16000000,0,7.4,845,10400000,65,0,1,0,0,0,0,0,385,0.5842696629213483,16.1573163641116,17.088874568116545,9.471164990258082,3.9512437185814275
Richard Eyre,220,0,14,17508670,Crime,Notes on a Scandal ,64625,646,Others,R,15000000,1,7.4,0,2508670,16.724466666666668,0,0,0,0,0,0,0,177,0.7829181494661922,14.735263290193606,16.678206744780955,11.07635661181073,5.393627546352362
Chris Weitz,158,0,129,40566655,Comedy,About a Boy ,144021,74,Others,PG-13,30000000,1,7.1,0,10566655,35.222183333333334,0,0,0,1,0,0,0,8,0.4040920716112532,16.173213846077843,17.518456981697163,11.877714401258824,5.062595033026967
Saul Dibb,194,0,10,13823741,Biography,The Duchess ,61777,6420,Others,PG-13,13500000,1,6.9,0,323741,2.3980814814814817,0,0,1,0,0,0,0,2844,1.3857142857142857,12.68769909238168,16.441898034318054,11.031286405889189,5.267858159063328
Joel Coen,197,0,0,45506619,Adventure,"O Brother, Where Art Thou? ",225102,3066,Others,PG-13,26000000,0,7.8,16000,19506619,75.0254576923077,0,1,0,0,0,0,0,1173,0.228538283062645,16.78626440183608,17.63336834586855,12.324308911795379,5.2832037287379885
Fernando Meirelles,226,1,353,33565375,Drama,The Constant Gardener ,111351,1565,Others,R,15000000,1,7.5,0,18565375,123.76916666666666,0,0,0,0,1,0,0,581,0.397887323943662,16.736808844689072,17.32900558764473,11.620442653336701,5.420534999272286
Pierre Morel,309,0,180,145000989,Action,Taken ,483756,16461,Others,PG-13,25000000,1,7.9,29000,120000989,480.003956,1,0,0,0,0,0,0,1301,0.31724845995893225,18.603010542379025,18.792251121051244,13.089335926349985,5.733341276897746
Sharon Maguire,168,0,11,71500556,Comedy,Bridget Jones's Diary ,171568,16999,Others,R,26000000,1,6.7,0,45500556,175.00213846153846,0,0,0,1,0,0,0,1887,0.29422066549912435,17.63323510362674,18.085215783857777,12.052734968459927,5.123963979403259
Lasse Hallström,152,1,529,71309760,Drama,Chocolat ,150308,1323,Others,PG-13,25000000,0,7.3,18000,46309760,185.23904,0,0,0,0,1,0,0,562,0.30522088353413657,17.650863295977516,18.082543762411948,11.92044180120414,5.0238805208462765
